row_index,parse_ok,length,finite_count,nonfinite_count,min,max,mean,split
288,True,2151,2151,0,0.062,0.886,0.4229167828916783,original
289,True,2151,2151,0,0.056,0.929,0.46537889353788936,original
290,True,2151,2151,0,0.054,0.95,0.5587331473733148,original
291,True,2151,2151,0,0.06,0.93,0.44510692701069265,original
292,True,2151,2151,0,0.087,1.002,0.571885169688517,original
293,True,2151,2151,0,0.095,1.0,0.5892947466294747,original
294,True,2151,2151,0,0.11,1.087,0.6128981868898187,original
295,True,2151,2151,0,0.104,1.127,0.6445067410506742,original
296,True,2151,2151,0,0.105,1.066,0.6411483031148304,original
297,True,2151,2151,0,0.091,0.982,0.5686717805671782,original
298,True,2151,2151,0,0.062,0.884,0.4985797303579731,original
299,True,2151,2151,0,0.057,0.872,0.5214760576476057,original
300,True,2151,2151,0,0.067,0.935,0.5962575546257555,original
301,True,2151,2151,0,0.049,0.895,0.5457787075778707,original
302,True,2151,2151,0,0.06,0.894,0.5565750813575081,original
303,True,2151,2151,0,0.057,0.834,0.4957359367735937,original
304,True,2151,2151,0,0.056,0.907,0.5669818688981869,original
305,True,2151,2151,0,0.054,0.973,0.5478953974895399,original
306,True,2151,2151,0,0.077,0.978,0.5416634123663412,original
307,True,2151,2151,0,0.049,1.014,0.5445281264528127,original
308,True,2151,2151,0,0.071,0.995,0.5776722454672245,original
309,True,2151,2151,0,0.053,0.924,0.5166662017666201,original
310,True,2151,2151,0,0.049,0.978,0.5941952580195258,original
311,True,2151,2151,0,0.05,0.918,0.5412882380288239,original
312,True,2151,2151,0,0.05,0.923,0.5299135285913529,original
313,True,2151,2151,0,0.046,0.928,0.5277610413761041,original
314,True,2151,2151,0,0.044,0.922,0.5458052068805207,original
315,True,2151,2151,0,0.054,0.928,0.537115760111576,original
316,True,2151,2151,0,0.055,0.988,0.5865718270571827,original
317,True,2151,2151,0,0.056,1.024,0.5781199442119944,original
318,True,2151,2151,0,0.062,1.01,0.5668335657833565,original
319,True,2151,2151,0,0.054,0.956,0.5414890748489074,original
320,True,2151,2151,0,0.063,1.009,0.5830878661087866,original
321,True,2151,2151,0,0.084,0.959,0.5432900976290097,original
322,True,2151,2151,0,0.065,0.966,0.5992287308228731,original
323,True,2151,2151,0,0.076,0.952,0.5687703393770339,original
324,True,2151,2151,0,0.073,0.963,0.5878530915853092,original
