stage,n_samples,spectral_index_retained,wavelength_nm,mean_reflectance,std_reflectance,smoothed_reflectance,first_derivative,second_derivative
Fresh,100,182,582.0,0.07532000541687012,0.024769285693764687,0.07535045422046026,-0.0008200575824646103,7.10653204993375e-05
Fresh,100,183,583.0,0.07453999668359756,0.02482072450220585,0.07456602225100022,-0.0007486888333222072,6.948560378357282e-05
Fresh,100,184,584.0,0.07383999228477478,0.024815205484628677,0.07385307655381584,-0.0006810863748974647,6.228892080088408e-05
Fresh,100,185,585.0,0.07328000664710999,0.024874115362763405,0.07320384950120529,-0.000624110991720439,5.366355451972074e-05
Fresh,100,186,586.0,0.07264002412557602,0.02499660849571228,0.07260485457037497,-0.0005737592658580232,4.9434054900210356e-05
Fresh,100,187,587.0,0.07219002395868301,0.025073768571019173,0.07205633096948924,-0.0005252428819200183,4.51824858834389e-05
Fresh,100,188,588.0,0.07167001068592072,0.024997225031256676,0.07155436880653493,-0.00048339429409114537,3.9094884808587443e-05
Fresh,100,189,589.0,0.07113000750541687,0.025137485936284065,0.07108954238130695,-0.00044705311230284345,3.539322574918832e-05
Fresh,100,190,590.0,0.0707399994134903,0.025121154263615608,0.07066026258192924,-0.0004126078425927687,3.123263495915726e-05
Fresh,100,191,591.0,0.07030998915433884,0.02516215108335018,0.07026432669612141,-0.0003845878423845289,2.562724990362239e-05
Fresh,100,192,592.0,0.06988999992609024,0.025112107396125793,0.06989108689716018,-0.00036135334278552395,2.2847880277353932e-05
Fresh,100,193,593.0,0.06950999051332474,0.025013795122504234,0.06954162001055036,-0.00033889208182982106,2.025846335032902e-05
Fresh,100,194,594.0,0.06911999732255936,0.024985309690237045,0.06921330273350054,-0.0003208364160848659,1.555514684918255e-05
Fresh,100,195,595.0,0.06876000016927719,0.024943986907601357,0.06889994717838063,-0.00030778178813145596,1.102465345501763e-05
Fresh,100,196,596.0,0.06842999160289764,0.02485005371272564,0.06859773915723763,-0.00029878710917483065,7.04474998070026e-06
Fresh,100,197,597.0,0.06825999915599823,0.024881167337298393,0.06830237296003097,-0.00029369228817005544,1.3995922997153687e-06
Fresh,100,198,598.0,0.06802000105381012,0.02482376992702484,0.06801035458089752,-0.0002959879245753999,-3.871826733947703e-06
Fresh,100,199,599.0,0.06775999814271927,0.024831483140587807,0.06771039711088017,-0.00030143594163795084,-5.057518564357405e-06
Fresh,100,200,600.0,0.06744000315666199,0.02484162524342537,0.06740748269762162,-0.0003061029617041147,-7.187244783241065e-06
Fresh,100,201,601.0,0.06724999845027924,0.02482231892645359,0.06709819118747194,-0.000315810431204433,-1.0340603004248272e-05
Fresh,100,202,602.0,0.06698999553918839,0.024866241961717606,0.06677586183521275,-0.00032678416771261126,-1.164513918588267e-05
Fresh,100,203,603.0,0.06665000319480896,0.02491801418364048,0.06644462285204672,-0.0003391007095761983,-1.4190442463816316e-05
Fresh,100,204,604.0,0.06633999943733215,0.02492597885429859,0.06609766041606036,-0.0003551650526402439,-1.5890586280060265e-05
Fresh,100,205,605.0,0.06594999879598618,0.02486458607017994,0.06573429274676623,-0.00037088188213631884,-1.513919289125587e-05
Fresh,100,206,606.0,0.06552000343799591,0.024924878031015396,0.06535589665178772,-0.00038544343842275564,-1.388391622434565e-05
Fresh,100,207,607.0,0.06515999883413315,0.02500348910689354,0.06496340586992072,-0.00039864971458501014,-1.2217329215868239e-05
Fresh,100,208,608.0,0.06479000300168991,0.02505565620958805,0.0645585972226177,-0.0004098780968544921,-1.0831617003489308e-05
Fresh,100,209,609.0,0.06425999104976654,0.025020640343427658,0.06414364967621174,-0.00042031294859198876,-9.664739226415697e-06
Fresh,100,210,610.0,0.06377999484539032,0.02508927322924137,0.06371797132543372,-0.0004292075753073235,-7.375434571431361e-06
Fresh,100,211,611.0,0.06331998854875565,0.025139562785625458,0.06328523452559709,-0.0004350638177348515,-2.051727835529135e-06
Fresh,100,212,612.0,0.06282000243663788,0.02515844814479351,0.06284784368996402,-0.0004333110309783818,5.086160053291433e-06
Fresh,100,213,613.0,0.062330011278390884,0.025111375376582146,0.062418612463640326,-0.0004248914976282686,9.831092518629986e-06
Fresh,100,214,614.0,0.06196000427007675,0.025170188397169113,0.06199806069470748,-0.0004136488459411218,1.282120144789449e-05
Fresh,100,215,615.0,0.06145000085234642,0.025171956047415733,0.06159131477175808,-0.00039924909473247963,1.748485278026471e-05
Fresh,100,216,616.0,0.06106000021100044,0.02516418881714344,0.06119956250524252,-0.0003786791403805924,2.415519799528129e-05
Fresh,100,217,617.0,0.06066000461578369,0.02522309124469757,0.0608339564909969,-0.00035093869874191705,2.8579450171074827e-05
Fresh,100,218,618.0,0.06032000854611397,0.02522137202322483,0.060497685107758686,-0.00032152024003844273,3.115742611718188e-05
