source,row,parse_ok,length,finite_count,nonfinite_count,min,max,mean
train,168,True,2151,2151,0,0.057999998331069946,0.8920000195503235,0.4518400728702545
train,169,True,2151,2151,0,0.05400000140070915,0.8949999809265137,0.4218321740627289
train,170,True,2151,2151,0,0.04399999976158142,0.8960000276565552,0.41782331466674805
train,171,True,2151,2151,0,0.11100000143051147,0.8519999980926514,0.4407740533351898
train,172,True,2151,2151,0,0.08699999749660492,0.7979999780654907,0.4185188412666321
train,173,True,2151,2151,0,0.05700000002980232,0.8349999785423279,0.4057959020137787
train,174,True,2151,2151,0,0.05700000002980232,0.8820000290870667,0.44105762243270874
train,175,True,2151,2151,0,0.0989999994635582,0.8119999766349792,0.4375178813934326
train,176,True,2151,2151,0,0.17900000512599945,0.8560000061988831,0.5029144883155823
train,177,True,2151,2151,0,0.1509999930858612,0.8119999766349792,0.4519330561161041
train,178,True,2151,2151,0,0.04500000178813934,0.9129999876022339,0.4411371350288391
train,179,True,2151,2151,0,0.035999998450279236,0.906000018119812,0.4399655759334564
train,180,True,2151,2151,0,0.05000000074505806,0.921999990940094,0.45015808939933777
train,181,True,2151,2151,0,0.03500000014901161,0.8870000243186951,0.4305248558521271
train,182,True,2151,2151,0,0.04899999871850014,0.9179999828338623,0.4608158767223358
train,183,True,2151,2151,0,0.05999999865889549,0.8289999961853027,0.3979865312576294
train,184,True,2151,2151,0,0.03400000184774399,0.8880000114440918,0.4406071603298187
train,185,True,2151,2151,0,0.03799999877810478,0.8709999918937683,0.43660157918930054
train,186,True,2151,2151,0,0.06400000303983688,0.8830000162124634,0.4439534842967987
train,187,True,2151,2151,0,0.04600000008940697,0.8880000114440918,0.39986610412597656
train,188,True,2151,2151,0,0.032999999821186066,0.8669999837875366,0.4136071503162384
train,189,True,2151,2151,0,0.04800000041723251,0.9459999799728394,0.49371084570884705
train,190,True,2151,2151,0,0.0560000017285347,0.9129999876022339,0.4486131966114044
train,191,True,2151,2151,0,0.04600000008940697,0.9049999713897705,0.43888425827026367
train,192,True,2151,2151,0,0.041999999433755875,0.8920000195503235,0.43590793013572693
train,193,True,2151,2151,0,0.03799999877810478,0.8870000243186951,0.4435141980648041
train,194,True,2151,2151,0,0.0430000014603138,0.8830000162124634,0.4424546957015991
train,195,True,2151,2151,0,0.054999999701976776,0.8939999938011169,0.4932045340538025
train,196,True,2151,2151,0,0.07500000298023224,0.906000018119812,0.47095537185668945
train,197,True,2151,2151,0,0.05000000074505806,0.9150000214576721,0.45951977372169495
train,198,True,2151,2151,0,0.13899999856948853,0.8679999709129333,0.47938403487205505
train,199,True,2151,2151,0,0.12399999797344208,0.8930000066757202,0.49111345410346985
train,200,True,2151,2151,0,0.0860000029206276,0.875,0.454317569732666
train,201,True,2151,2151,0,0.04800000041723251,0.9190000295639038,0.45656996965408325
train,202,True,2151,2151,0,0.032999999821186066,0.8830000162124634,0.4266773462295532
train,203,True,2151,2151,0,0.06199999898672104,0.9279999732971191,0.42000746726989746
train,204,True,2151,2151,0,0.03999999910593033,0.9380000233650208,0.42994654178619385
